ad,tur,ilce,lat,lon,alan_ha
KOCA MUSTAFA PAŞA SAHİL PARKI,Park,FATIH,40.995025,28.930539,10.548
SELANİK - İSTANBUL CADDELERİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),EYUPSULTAN,41.161316,28.908991,2.288
YEDİKULE KAVŞAĞI,Cadde (Kavşak ve Refüj),ZEYTINBURNU,40.990291,28.919118,0.532
PİYALEPAŞA BULVARI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),SISLI,41.055911,28.970866,14.424
KÜÇÜKSU CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),UMRANIYE,41.046679,29.114005,1.093
ORGENERAL ABDURRAHMAN NAFİZ GÜRMAN PARKI,Park,GUNGOREN,41.003409,28.883548,2.421
ŞEHİT KUBİLAY PARKI,Park,EYUPSULTAN,41.076343,28.958996,0.386
CEMAL REŞİT REY KONSER SALONU BAHÇESİ,Kamu,SISLI,41.048319,28.989791,0.014
BEYKOZ SOĞUKSU CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BEYKOZ,41.109696,29.103867,1.383
ORHANGAZİ ŞEHİR PARKI/DOĞU 1,Park,MALTEPE,40.920884,29.12351,28.759
SARIGAZİ KAVŞAĞI - TAŞDELEN KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",CEKMEKOY,41.018226,29.209145,0.303
TAHSİN ARCAN PARKI,Park,PENDIK,40.876907,29.238719,0.518
ÇAMLIK ATATÜRK PARKI,Park,BAKIRKOY,40.987276,28.869777,0.379
TEKSTİLKENT METRO ÇIKIŞI,Metro Çıkışı,ESENLER,41.070239,28.866333,0.049
KIBRIS BARIŞ ORMANI PARKI,Park,BEYOGLU,41.054354,28.954369,0.396
SİLİVRİ KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.079186,28.237833,2.224
TOPKAPI KAVŞAĞI VE ÇEVRESİ,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ZEYTINBURNU,41.019353,28.92251,1.29
DENİZ AKTAŞ PARKI,Park,BAKIRKOY,40.963641,28.832908,0.635
ADNAN KAHVECİ BULVARI ORTA REFÜJ,Cadde (Kavşak ve Refüj),BAKIRKOY,40.982322,28.852241,0.501
İBB BEYKOZ RECEP ŞAHİN KÖKTÜRK SPOR KOMPLEKSİ BAHÇESİ,Kamu,BEYKOZ,41.124852,29.100358,0.388
VEZNECİLER KIZ ÖĞRENCİ YURDU BAHÇESİ,Kamu,FATIH,41.013171,28.959712,1.265
PENDİK AYDINLI YOLU CADDESİ ORTA REFÜJ,Cadde (Kavşak ve Refüj),PENDIK,40.879286,29.244533,0.347
ŞEHİT ATİLLA TAPAN PARKI,Park,BEYKOZ,41.127725,29.095889,1.015
HALK CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),ATASEHIR,40.986178,29.104356,3.01
KAYALI BAHÇE PARKI,Park,BAKIRKOY,40.973009,28.789042,0.433
CEMAL KAMACI SPOR KOMPLEKSİ BAHÇESİ,Kamu,KAGITHANE,41.053404,28.958711,0.121
TARLABAŞI - AZAPKAPI ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BEYOGLU,41.031643,28.973768,0.609
TAKSİM GEZİ PARKI,Park,SISLI,41.040546,28.987406,5.664
KURTKÖY MAHALLESİ SELÇUKLU CADDESİ ORTA REFÜJ,Cadde (Kavşak ve Refüj),PENDIK,40.918178,29.292276,0.244
YENİKÖY MAHALLE PARKI - 2 (AĞVA),Park,SILE,41.115422,29.848315,0.033
MAHMUTBEY DOĞU KAVŞAĞI - ESENLER KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAGCILAR,41.055155,28.855067,10.608
FERHATPAŞA AĞAÇLANDIRMA SAHASI (REZERV ALANI),Ağaçlandırma Sahası,CATALCA,41.136405,28.457838,1.844
BAĞCILAR KİRAZLI MAHALLESİ ZEMİN ÜSTÜ PARKI,Park,BAGCILAR,41.03274,28.834647,0.136
15 TEMMUZ OTOGAR KAVŞAĞI VE ORA AVM ÖNÜ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BAYRAMPASA,41.038415,28.889335,1.706
MARMARA ÜNİVERSİTESİ İLAHİYAT FAKÜLTESİ BAHÇESİ,Kamu,USKUDAR,41.02059,29.036855,2.354
SEFAKÖY KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAHCELIEVLER,41.009674,28.813,2.441
SİNAN ERDEM SPOR SALONU BAHÇESİ,Kamu,BAKIRKOY,40.988649,28.853353,0.58
KERVANSARAY MAHALLE PARKI,Park,SILE,41.071847,29.456913,0.233
BAŞAKŞEHİR HÜRRİYET BULVARI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BASAKSEHIR,41.090899,28.79016,3.877
DİNOZORLU PARKI,Park,BAKIRKOY,40.982399,28.872,0.138
İBB SANCAKTEPE İŞİTME ENGELLİLER REHABİLİTASYON MERKEZİ BAHÇESİ,Kamu,SANCAKTEPE,41.001496,29.231804,0.531
AHMETLİ MAHALLE PARKI,Park,SILE,41.146853,29.572579,0.185
HABEŞ PARKI,Park,EYUPSULTAN,41.032131,28.937168,1.55
SÜLEYMANİYE CAMİ BAHÇESİ,Kamu,FATIH,41.015919,28.964185,3.393
SİLAHTARAĞA PARKI,Park,EYUPSULTAN,41.060869,28.945241,3.835
HASDAL KAVŞAĞI OKMEYDANI KAVŞAĞI ARASI 1. KISIM ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",EYUPSULTAN,41.085463,28.960472,11.882
BURUNBAHÇE MESİRE ALANI - 2,Park,BEYKOZ,41.111095,29.0852,2.508
SÜTLÜCE ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BEYOGLU,41.055392,28.94667,1.528
İBB BEYLİKDÜZÜ ÇEM BAHÇESİ,Kamu,BEYLIKDUZU,40.977874,28.645971,0.114
İBB SULTANBEYLİ MİMAR SİNAN ÇEM BAHÇESİ,Kamu,SULTANBEYLI,40.990951,29.255624,0.11
HARMANDERE MAHALLESİ ANKARA CADDESİ NO:445 ÖNÜ ORTA REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.929665,29.325937,0.056
TUZLA KAVŞAĞI - BAYRAMOĞLU ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",TUZLA,40.829662,29.338464,1.711
ÇAKMAK METRO İSTASYONU,Metro Çıkışı,UMRANIYE,41.02196,29.117056,0.025
ŞEHİTLİK PARKI,Park,UMRANIYE,41.013581,29.107162,7.362
15 TEMMUZ ŞEHİTLER HATIRA ORMANI (OSMANLI HATIRA ORMANI),Hatıra Ormanı,BEYKOZ,41.081883,29.093112,14.201
BAHÇEKÖY CADDESİ ORTA REFÜJLER,Cadde (Kavşak ve Refüj),SARIYER,41.155862,29.029184,0.504
YAMANEVLER METRO İSTASYONU,Metro Çıkışı,UMRANIYE,41.02428,29.10835,0.496
AHİ ÇELEBİ CAMİ BAHÇESİ,Kamu,FATIH,41.019074,28.968295,0.124
İTFAİYE MÜFREZESİ BAHÇESİ,Kamu,BAKIRKOY,40.963314,28.807923,0.738
BEYLİKDÜZÜ CEMEVİ BAHÇESİ,Kamu,BEYLIKDUZU,40.980891,28.646428,0.325
ÇAMLIK MAHALLESİ CAHİT ZARİFOĞLU ORTA REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.930136,29.279737,0.314
ŞEHİT ENGİN TİLBAÇ PARKI,Park,SULTANGAZI,41.088004,28.874089,1.593
DOSTLUK PARKI,Park,SILE,41.171507,29.608762,0.03
ÇATALCA EKMEKÇİOĞLU MESİRE ALANI,Mesire Alanı,CATALCA,41.227524,28.445603,4.44
İBB BAKIRKÖY EK HİZMET BİNASI BAHÇESİ,Kamu,BAKIRKOY,40.999469,28.884686,0.122
ÇATALCA DEVEKOŞAN MESİRE ALANI,Mesire Alanı,CATALCA,41.408146,28.490254,1.495
ÇATALCA KÜPTEPE MESİRE ALANI,Mesire Alanı,CATALCA,41.23764,28.478889,2.368
ÇATALCA KARAPINAR MESİRE ALANI,Mesire Alanı,CATALCA,41.249875,28.369501,2.997
ÇATALCA HACIÇEŞME MESİRE ALANI,Mesire Alanı,CATALCA,41.243528,28.428547,2.997
ÇATALCA ÇEŞMECİPINAR MESİRE ALANI,Mesire Alanı,CATALCA,41.280083,28.344371,3.297
ÇATALCA HARMANLAR ÜSTÜ MESİRE ALANI,Mesire Alanı,CATALCA,41.25859,28.410963,2.992
ÇATALCA AYDINLAR MESİRE ALANI,Mesire Alanı,CATALCA,41.369048,28.210813,7.217
HARMANDERE KAVŞAĞI - HAVALİMANI KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",PENDIK,40.922608,29.323598,6.133
İSMEK PASTACILIK OKULU BAHÇESİ,Kamu,ESENLER,41.02001,28.898764,1.037
EYÜP BULVARI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),EYUPSULTAN,41.041929,28.928685,0.633
ESENLER KAVŞAĞI - VATAN KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAYRAMPASA,41.040358,28.908112,2.766
TEM PENDİK KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",PENDIK,40.935967,29.333472,16.023
İBB KARTAL LOJİSTİK DESTEK HİZMETLERİ BAHÇESİ,Kamu,KARTAL,40.907779,29.189862,3.642
EDİRNEKAPI KAVŞAĞI - VATAN CADDESİ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",EYUPSULTAN,41.033662,28.92969,2.599
ACIBADEM CADDESİ ORTA REFÜJLER,Cadde (Kavşak ve Refüj),USKUDAR,41.013441,29.054552,0.081
D100 MİMAR SİNAN KAVŞAĞI - ÇATALCA AHMEDİYE KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BUYUKCEKMECE,41.050452,28.540943,10.073
PENDİK SEMERKANT BULVARI AĞAÇLANDIRMA SAHASI (REZERV ALAN),Ağaçlandırma Sahası,PENDIK,40.917556,29.284788,1.224
HARAMİDERE KAVŞAĞI - AMBARLI LİMANI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BEYLIKDUZU,40.991008,28.68057,6.298
Ç.MESKEN - GÖÇMEN BLOKLARI PARKI,Park,EYUPSULTAN,41.08176,28.959268,1.925
İDEALTEPE 50. YIL KORUSU,Koru,MALTEPE,40.94045,29.123186,8.076
BURGAZADA MEZARLIK SOKAK YEŞİL ALAN,Kamu,ADALAR,40.880727,29.067838,0.012
BURGAZADA VAPUR İSKELESİ YEŞİL ALAN,Park,ADALAR,40.881125,29.070101,0.01
BURGAZADA SAİT FAİK ABASIYANIK HEYKELİ YEŞİL ALAN,Kamu,ADALAR,40.881237,29.067718,0.038
HEYBELİADA DEĞİRMEN BURNU GİRİŞİ SPOR ALANI,Park,ADALAR,40.882938,29.098631,0.028
ATATÜRK CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),SANCAKTEPE,41.008227,29.224384,1.044
İBB KARTAL HUZUREVİ BAHÇESİ,Kamu,KARTAL,40.906582,29.241153,1.891
ÇINAR OTEL YANI PARKI,Park,BAKIRKOY,40.959468,28.837098,0.442
BÜYÜKADA İZZET ORBAY PARKI,Park,ADALAR,40.867211,29.133576,0.086
BİZANS ÇÖPLÜĞÜ - DOLAPDERE ARASI ORTA REFÜJ VE İPLİKÇİ KAVŞAĞI,Cadde (Kavşak ve Refüj),BEYOGLU,41.040136,28.977177,0.421
KADI MEHMET EFENDİ PARKI,Park,BEYOGLU,41.033967,28.964118,0.039
DOLMABAHÇE CAMİ BAHÇESİ,Kamu,BEYOGLU,41.036733,28.995276,0.185
BURGAZADA SU SPORLARI KULÜBÜ ÖNÜ YEŞİL ALAN,Kamu,ADALAR,40.879424,29.070669,0.011
TEM OTOYOLU - FORMULA PİSTİ ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",TUZLA,40.936314,29.35949,9.999
BEBEK ÇINARLI BAHÇE PARKI,Park,BESIKTAS,41.076644,29.042894,0.073
BURGAZADA YALI CADDESİ ATATÜRK BÜSTÜ VE YEŞİL ALAN,Kamu,ADALAR,40.879689,29.070184,0.005
KUYUMCUKENT KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAHCELIEVLER,41.000318,28.818263,7.484
