ad,tur,ilce,lat,lon,alan_ha
HASAN DOĞAN SPOR KOMPLEKSİ BAHÇESİ,Kamu,KARTAL,40.892211,29.190221,0.031
YAKAKÖY MAHALLE PARKI,Park,SILE,40.991945,29.653889,0.253
FSM - LEVENT BAĞLANTI YOLU ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BESIKTAS,41.0898,29.018981,7.207
BARIŞ MANÇO PARKI,Park,EYUPSULTAN,41.090037,28.928259,2.644
ALİBEYKÖY MERKEZ PARKI,Park,EYUPSULTAN,41.079594,28.94864,2.232
A 0 KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BASAKSEHIR,41.065181,28.808847,3.419
İBB BAYRAMPAŞA SPOR TESİSİ BAHÇESİ,Kamu,BAYRAMPASA,41.044917,28.910314,0.09
İMES KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",UMRANIYE,40.994532,29.155296,3.682
EMBEYLER MAHALLE PARKI,Park,SILE,41.079925,29.801973,0.044
KURTKÖY MAHALLESİ ANKARA CADDESİ - ÜSTÜN CADDESİ KESİŞİMİ ORTA REFÜJ,Cadde (Kavşak ve Refüj),PENDIK,40.913291,29.298399,0.068
AĞVA İSKELE CADDESİ ORTA REFÜJLER,Cadde (Kavşak ve Refüj),SILE,41.135636,29.859031,0.187
SABAHATTİN ZAİM ÜNİVERSİTESİ ÖNÜ KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",KUCUKCEKMECE,41.029085,28.789953,1.071
AYAZAĞA KASRI BAHÇESİ,Kamu,SARIYER,41.106869,29.008489,0.546
AVCIKORU MAHALLE PARKI,Park,SILE,41.119835,29.413259,0.242
BEYLİKDÜZÜ RIFAT ILGAZ CADDESİ ORTA VE YAN REFÜJ,Cadde (Kavşak ve Refüj),BEYLIKDUZU,40.992835,28.653141,4.287
HAVALİMANI TERMİNAL KAVŞAĞI - HAVALİMANI BAĞLANTI KAVŞAĞI ARASI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",PENDIK,40.914156,29.316297,2.731
HARAMİDERE KAVŞAĞI - BİZİMKENT KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BEYLIKDUZU,41.007211,28.663167,1.32
SOSYAL HİZMETLER MERKEZİ BAHÇESİ,Kamu,USKUDAR,41.009208,29.020938,0.088
KİRAZLI METRO İSTASYONU,Metro Çıkışı,BAGCILAR,41.032541,28.842232,1.805
YAVUZ SULTAN SELİM BULVARI (BEYKENT),Cadde (Kavşak ve Refüj),BEYLIKDUZU,41.005226,28.625873,1.103
KALEM MAHALLE PARKI (KÖSELER MEVKİİ),Park,SILE,41.09614,29.839917,0.055
KAZIM KARABEKİR METRO ÇIKIŞI,Metro Çıkışı,GAZIOSMANPASA,41.085121,28.908308,0.794
KISIRKAYA HAYVAN BARINAĞI BAHÇESİ,Kamu,SARIYER,41.25731,28.956343,34.53
BALAT PARKI,Park,FATIH,41.032882,28.948562,2.531
SABANCI KAVŞAĞI,Cadde (Kavşak ve Refüj),BESIKTAS,41.082832,29.010632,3.115
SALI PAZARI MEYDANI,Meydan,KADIKOY,40.997723,29.049547,0.186
MALTEPE KUMCULAR - KARTAL KUMCULAR ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),MALTEPE,40.896793,29.163559,3.445
AVCILAR SOSYAL TESİSLER BAHÇESİ,Kamu,AVCILAR,40.976517,28.743904,3.253
ESENYURT KÖPRÜLÜ KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ESENYURT,41.031278,28.686979,4.938
İBB ERDEM BEYAZIT KÜLTÜR MERKEZİ BAHÇESİ,Kamu,GUNGOREN,41.028848,28.87701,0.426
ŞEHİT SONER BAYKUŞ PARKI,Park,EYUPSULTAN,41.077568,28.932177,2.297
TEM HARAMİDERE KAVŞAĞI - E5 HARAMİDERE KAVŞAĞI ARASI ORTA YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ESENYURT,41.01343,28.67882,3.497
İSTİNYE BAYIRI CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),SARIYER,41.110139,29.03755,0.369
BEYOĞLU HACIAHMET PARKI,Park,BEYOGLU,41.0432,28.972861,2.287
AKSARAY METRO İSTASYONU VE ÇEVRESİ,Metro Çıkışı,FATIH,41.011589,28.948929,2.781
CEVİZLİ KAVŞAĞI - KARTAL KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",KARTAL,40.910512,29.19827,1.592
BEYLİKDÜZÜ OSMANLI BAHÇESİ PARKI,Park,BEYLIKDUZU,40.99599,28.644925,2.535
PENDİK DOĞU PARKI,Park,PENDIK,40.875621,29.24034,4.642
BEYLİKDÜZÜ KADIN DAYANIŞMA VE KÜLTÜR PARKI,Park,BEYLIKDUZU,40.984381,28.668022,0.529
SEYRANTEPE KORUSU,Koru,KAGITHANE,41.091624,28.986973,8.749
KARTAL KAVŞAĞI - PENDİK KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",PENDIK,40.896283,29.226609,0.092
BOTAŞ PARKI PENDİK,Park,PENDIK,40.882024,29.259631,0.649
BUCAKLI MAHALLE PARKI - 3 (BÜYÜK AŞAĞI),Park,SILE,41.116764,29.874396,0.06
KARTAL YAVUZ SULTAN SELİM PARKI,Park,KARTAL,40.928476,29.217858,2.43
ÖRNEKKÖY MAHALLE PARKI,Park,BEYKOZ,41.138927,29.143689,0.638
ORUÇ REİS METRO ÇIKIŞI (DOĞU-BATI),Metro Çıkışı,BAGCILAR,41.06249,28.855304,0.245
KARTAL TAVŞANTEPE VADİSİ PARKI,Park,KARTAL,40.939744,29.212622,9.966
MADENLER MEYDANI,Meydan,UMRANIYE,41.014155,29.189841,0.363
İKİTELLİ SANAYİ METRO İSTASYONU,Metro Çıkışı,BASAKSEHIR,41.070613,28.80469,0.123
İNCİRLİ KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAKIRKOY,40.997132,28.870522,1.802
KEMERDERE KAVŞAĞI - SARIGAZİ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",CEKMEKOY,41.01469,29.201228,0.193
MADENLER METRO İSTASYONU ÇIKIŞI,Metro Çıkışı,CEKMEKOY,41.01455,29.189394,0.224
İBB SOSYAL TESİSLER - KARTAL İDO ARASI KARA VE SAHİL PARKI,Park,KARTAL,40.895735,29.164849,20.268
NAMAZGAH ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),USKUDAR,41.02276,29.078735,0.441
MAHMUT ŞEVKET PAŞA PARKI,Park,KAGITHANE,41.054406,28.960874,1.42
YEŞİLBAĞLAR MAHALLESİ ALTIN YAYLA SOKAK ORTA REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.892329,29.229211,0.026
VELİBABA MAHALLESİ TİMURHAN SOKAK ORTA REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.897169,29.258925,0.053
MİMAR SİNAN SAHİL ATATÜRK PARKI,Park,BUYUKCEKMECE,41.015142,28.562591,1.045
BEZMİALEM VAKIF ÜNİVERSİTESİ BAHÇESİ,Kamu,FATIH,41.018602,28.935268,9.013
İTÜ TAŞKIŞLA YERLEŞKESİ,Kamu,SISLI,41.041118,28.989909,0.252
İDEALİSKENT CADDESİ ORTA REFÜJLER,Cadde (Kavşak ve Refüj),UMRANIYE,41.014216,29.17913,1.311
NURTEPE ACİL METRO ÇIKIŞI,Metro Çıkışı,EYUPSULTAN,41.079575,28.962854,0.44
ÇENGİLLİ MAHALLE PARKI,Park,SILE,41.003848,29.672274,0.035
TEM KINALI KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.119631,28.185727,74.931
TOPHANELİ KIDEMLİ YÜZBAŞI HAKKI EFENDİ PARKI,Park,BEYOGLU,41.027013,28.979921,0.426
TEM ÇATALCA KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",CATALCA,41.089452,28.509599,9.015
HASANLI MAHALLE PARKI,Park,SILE,41.018079,29.665578,0.162
SADABAT MESİRE ALANI - 1,Mesire Alanı,KAGITHANE,41.067435,28.959278,9.297
PINAR MAHALLESİ PARKI,Park,SARIYER,41.114711,29.034311,0.129
RUMELİ KAVAĞI SAHİL PARKI,Park,SARIYER,41.181159,29.074263,0.385
BULGURLU KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",USKUDAR,41.020479,29.074174,2.785
İSBAK ÜSTÜ YAN REFÜJLER,Cadde (Kavşak ve Refüj),KAGITHANE,41.095926,28.984522,7.391
TAKSİM MEYDANI - ANIT,Meydan,BEYOGLU,41.037253,28.985424,0.592
FATİH ÇEŞMESİ MESİRE ALANI,Mesire Alanı,EYUPSULTAN,41.169405,28.94599,28.938
ALTKAYNARCA SAHİL BAĞLANTI YOLU ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.86855,29.261745,0.396
KARAKİRAZ MAHALLE PARKI,Park,SILE,41.179396,29.346704,0.279
BEYKOZ ONÇEŞMELER MEYDANI,Meydan,BEYKOZ,41.134266,29.091775,0.21
ZİNCİRLİKUYU - AKMERKEZ YOLU ARASI YAN REFÜJLER,Cadde (Kavşak ve Refüj),BESIKTAS,41.070987,29.021401,1.391
ÇOBANÇEŞME OKUL ÜSTÜ,Cadde (Kavşak ve Refüj),EYUPSULTAN,41.081016,28.954157,0.886
AZİZOĞLU CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.888109,29.261989,2.088
SOBACILAR ÖNÜ PARKI,Park,FATIH,41.018191,28.96761,0.052
YAŞAR DOĞU BULVARI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BASAKSEHIR,41.080331,28.810734,4.172
İSTANBUL ÜNİVERSİTESİ BAHÇESİ,Kamu,FATIH,41.012713,28.964201,11.173
ATAKÖY ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BAKIRKOY,40.974525,28.855822,8.164
FLORYA SPOR TESİSİ BAHÇESİ,Kamu,BAKIRKOY,40.974949,28.790795,1.256
L MOTEL - GÜNEŞ MOTEL BAHÇESİ,Kamu,BAKIRKOY,40.972051,28.788087,2.073
ŞENLİKKÖY - YEŞİLYURT ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BAKIRKOY,40.971736,28.810279,8.915
BULGURLU KAVŞAĞI - ALTUNİZADE KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",USKUDAR,41.021217,29.066196,0.903
METRİS KAVŞAĞI - HAL KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAYRAMPASA,41.068061,28.881236,14.318
ORTA MAHALLE FATİH PARKI,Park,BAYRAMPASA,41.034608,28.919184,0.379
CUMHURİYET MAHALLE PARKI,Park,SARIYER,41.144034,29.032932,0.905
HARMANDERE KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",PENDIK,40.930093,29.328835,2.96
YAKACIK CADDESİ KÖPRÜLÜ KAVŞAĞI ORTA REFÜJ,Cadde (Kavşak ve Refüj),SANCAKTEPE,40.978744,29.220024,0.466
BALIKÇI ADASI PARKI,Park,KUCUKCEKMECE,40.988888,28.770569,0.564
GÜLSUYU KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",MALTEPE,40.924788,29.153288,1.896
İBB ARNAVUTKÖY MAREŞAL FEVZİ ÇAKMAK ÇEM BAHÇESİ,Kamu,ARNAVUTKOY,41.196322,28.722385,0.135
SARIYER LİSELİLER PARKI,Park,SARIYER,41.163176,29.049052,0.044
OSMANİYE KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ZEYTINBURNU,41.012512,28.905144,5.653
İBB ÇATALCA KALEİÇİ ÇEM BAHÇESİ,Kamu,CATALCA,41.149505,28.461599,0.164
BALIKESİR KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",KARTAL,40.923717,29.208492,1.624
TUZLA KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",TUZLA,40.834801,29.326729,5.196
AKDENİZ CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),UMRANIYE,41.013043,29.108099,0.451
BAHÇEŞEHİR ISPARTAKULE CADDESİ YAN REFÜJ - CAMİ ÖNÜ,Park,BASAKSEHIR,41.077757,28.69383,1.026
KORDON BOYU SAHİL PARKI,Park,BUYUKCEKMECE,41.01155,28.595258,3.281
GÜRPINAR KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ESENYURT,41.022334,28.626742,4.98
KUMBURGAZ KAVŞAĞI - ORTAKÖY KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.043889,28.41359,8.028
ÇAMLIK PARKI,Park,SARIYER,41.125289,29.070474,0.293
FORMULA PİSTİ BAHÇESİ,Kamu,TUZLA,40.955385,29.405166,160.979
ŞEHİT TOLGA ECEBALİN PARKI,Park,FATIH,41.024951,28.960107,1.917
BÜYÜKÇEKMECE DOĞAL YAŞAM PARKI,Park,BUYUKCEKMECE,41.037446,28.556479,33.034
HALİLOĞLU MAHALLE PARKI,Park,SILE,41.091077,29.855727,0.351
SİS PARKI,Park,KARTAL,40.89502,29.16844,0.493
KEMERBURGAZ OTOYOLU ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",EYUPSULTAN,41.142041,28.919196,44.392
BEYLİKDÜZÜ KREŞ EĞİTİM YAPISI VE ÇOCUK OYUN PARKI,Park,BEYLIKDUZU,40.995857,28.628561,0.877
SEFAKÖY - GÜNEŞLİ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAHCELIEVLER,41.018551,28.812006,2.181
AĞAÇDERE MAHALLE PARKI,Park,SILE,41.039575,29.70587,0.236
TEM AVCILAR KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",AVCILAR,41.054987,28.685471,18.989
HALICIOĞLU KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BEYOGLU,41.049584,28.946311,4.419
TAVANLI PARKI,Park,SILE,41.176592,29.620853,0.256
KANDİLLİ PARKI,Park,USKUDAR,41.074384,29.058876,0.209
BEYKOZ NATO PARKI,Park,BEYKOZ,41.131088,29.092755,0.554
LİBADİYE CADDESİ ORTA REFÜJ - 2,Cadde (Kavşak ve Refüj),ATASEHIR,41.000903,29.073129,0.614
İSAKÖY MAHALLE PARKI,Park,SILE,41.106845,29.8247,0.203
SARIYER TÜNELİ BAĞLANTI YOLLARI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),SARIYER,41.171469,29.039167,2.061
ÇUBUKLU KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BEYKOZ,41.107117,29.084542,0.244
FSM - KAVACIK KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BEYKOZ,41.091666,29.082982,5.492
ŞEHİT ÖMER ÖNER PARKI,Park,TUZLA,40.813931,29.307091,15.181
MAHMUTBEY METRO İSTASYONU,Metro Çıkışı,BAGCILAR,41.054931,28.83125,1.417
BULGURLU METRO İSTASYONU,Metro Çıkışı,USKUDAR,41.01645,29.07574,0.263
RAHMİ DEMİR KENT ORMANI,Kent Ormanı,CEKMEKOY,41.036904,29.183808,33.084
İÇMELER KAVŞAĞI - TUZLA KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",TUZLA,40.844717,29.30289,0.659
GAZİOSMANPAŞA MEHMET NİYAZİ ÖZDEMİR ZEMİN ÜSTÜ PARKI,Park,GAZIOSMANPASA,41.079404,28.885492,0.27
HASEKİ SULTAN KÜLLİYESİ BAHÇESİ,Kamu,FATIH,41.008955,28.941348,0.113
AŞİYAN - BALTALİMANI ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),SARIYER,41.083093,29.054684,1.018
ÇATALCA İNCEĞİZ C TİPİ MESİRE ALANI,Mesire Alanı,CATALCA,41.181653,28.394474,11.873
RAUF ORBAY CADDESİ ORTA REFÜJ,Cadde (Kavşak ve Refüj),TUZLA,40.830906,29.293016,1.599
BAŞAKŞEHİR ONURKENT PARKI - 1,Park,BASAKSEHIR,41.109791,28.783284,2.696
TERSANE KAVŞAĞI - İÇMELER KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",PENDIK,40.857778,29.286656,0.659
AVRUPA YAKASI YOL BAKIM VE ONARIM MÜDÜRLÜĞÜ 4. BÖLGE MÜDÜR YARDIMCILIĞI BAHÇESİ,Kamu,ARNAVUTKOY,41.170809,28.761055,0.619
PENDİK SAHİL İDO - TERSANE ARASI ORTA REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.871687,29.248995,0.788
BOSTANCI - DRAGOS ORTA REFÜJ,Cadde (Kavşak ve Refüj),MALTEPE,40.930821,29.11861,1.58
BÜYÜKADA ATATÜRK MEYDANI,Meydan,ADALAR,40.873825,29.126388,0.275
PARKKÖY KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.068464,28.297019,3.577
SARAYBURNU PARKI,Park,FATIH,41.016178,28.986321,3.115
DR. EYÜP AKSOY CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),USKUDAR,41.006962,29.02462,1.655
AVCILAR KAVŞAĞI - AMBARLI KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",AVCILAR,40.994532,28.706571,0.138
GÜMRÜK PARKI,Park,USKUDAR,41.005137,29.0145,0.911
KAĞITHANE SADABAT TÜNEL ÇIKIŞI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),KAGITHANE,41.064452,28.954223,2.344
HİDAYETİN BAĞI PARKI,Park,SARIYER,41.171888,29.056009,0.41
CEMİL TOPUZLU PARKI,Park,BESIKTAS,41.05468,29.034836,2.336
FISTIK AĞACI METRO İSTASYONU,Metro Çıkışı,USKUDAR,41.028414,29.028662,0.288
MALTEPE KAVŞAĞI - ZÜMRÜTEVLER KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",MALTEPE,40.933642,29.14206,1.049
ÇELEBİ MAHALLE PARKI,Park,SILE,41.092585,29.909828,0.349
KEMERDERE KAVŞAĞI ORTA REFÜJ,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",UMRANIYE,41.016177,29.182564,2.525
VADİ İSTANBUL ÖNÜ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),KAGITHANE,41.105847,28.985342,7.267
GAZİOSMANPAŞA KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SULTANGAZI,41.092019,28.911815,17.355
BALTALİMANI PARKI,Park,SARIYER,41.097177,29.053127,0.127
PENDİK KAVŞAĞI - TERSANE KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",PENDIK,40.882431,29.248821,2.625
LÜTFİ AYKAÇ BULVARI (VEGA AVM ÖNÜ) KAVŞAĞI,Cadde (Kavşak ve Refüj),SULTANGAZI,41.094164,28.903304,0.114
İBB ENERJİ YÖNETİMİ VE AYDINLATMA MÜDÜRLÜĞÜ BAHÇESİ,Kamu,BAYRAMPASA,41.058624,28.889281,1.465
HAL KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAYRAMPASA,41.056688,28.886882,23.327
SARI ZEYBEK CADDESİ ORTA REFÜJ VE KAVŞAKLAR,Cadde (Kavşak ve Refüj),BEYLIKDUZU,40.993607,28.684811,4.25
DARÜLACEZE - SSK ÖNÜ ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SISLI,41.061058,28.967361,0.246
BOSTANCI KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ATASEHIR,40.963863,29.105543,2.13
TURABİ BABA - BAHARİYE CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BEYOGLU,41.031851,28.966644,0.185
KÜÇÜKÇEKMECE CENNET MAHALLESİ MEYDANI,Meydan,KUCUKCEKMECE,40.989976,28.783273,1.054
GİYİMKENT ANA ARTERLER VE VADİ CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),ESENLER,41.070383,28.868404,1.212
ŞEHİT MUHAMMET OĞUZ KILINÇ PARKI,Park,PENDIK,40.923949,29.301591,1.93
SARIYER CEMEVİ BAHÇESİ,Kamu,SARIYER,41.144374,29.031744,0.231
İSPARK ZEMİN ALTI OTOPARK ÜSTÜ PARKI,Park,EYUPSULTAN,41.084843,28.925717,0.16
VALİLİK KONUTU BAHÇESİ,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAKIRKOY,40.974851,28.782346,0.009
TURGUT ÖZAL BULVARI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),KUCUKCEKMECE,41.049725,28.75837,3.409
ŞEHİT ŞEYHMUZ DEMİR PARKI,Park,BEYOGLU,41.039889,28.95032,2.847
BEYOĞLU İMAM HATİP LİSESİ BAHÇESİ,Kamu,BEYOGLU,41.057557,28.952332,0.655
TERSANELER ÖNÜ YAN REFÜJ,Cadde (Kavşak ve Refüj),TUZLA,40.845088,29.2936,0.613
ŞİŞLİ MECİDİYEKÖY METRO İSTASYONU,Metro Çıkışı,SISLI,41.065288,28.996745,0.086
OSMANKÖY MAHALLE PARKI,Park,SILE,41.082398,29.732432,0.237
KILIÇLI MAHALLE PARKI,Park,BEYKOZ,41.15916,29.291359,0.402
SANCAKTEPE ÇOCUK PARKI,Park,SANCAKTEPE,41.001625,29.231113,0.42
İSKİ ANADOLU HİSARI YERLİ SUYU MEMBA ALANI,Park,BEYKOZ,41.088397,29.085335,0.387
METİN OKTAY TESİSLERİ BAHÇESİ,Kamu,SARIYER,41.12836,29.049556,1.685
YALIKÖY SAHİL PARKI,Park,BEYKOZ,41.135956,29.087787,0.257
FSM KÖPRÜSÜ - GİŞELER ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BESIKTAS,41.090044,29.043215,8.878
NAKKAŞTEPE ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),USKUDAR,41.035365,29.042707,4.48
DEDEOĞLU PARKI,Park,BEYKOZ,41.107233,29.087635,1.727
KAVACIK KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BEYKOZ,41.08901,29.091458,5.423
BAŞAKŞEHİR BÖLGE ŞEFLİK BAHÇESİ,Kamu,BASAKSEHIR,41.10863,28.804367,0.621
TSK ÇAMLICA ÖZEL BAKIM EVİ BAHÇESİ,Kamu,USKUDAR,41.009105,29.05492,20.558
RAMAZANOĞLU MAHALLESİ MUHSİN YAZICIOĞLU CADDESİ KAR BETON ÖNÜ REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.897644,29.280021,0.219
KURTKÖY YOLU ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.911236,29.286106,0.528
İBB SELİMPAŞA ÇEM BAHÇESİ,Kamu,SILIVRI,41.053251,28.384094,0.288
HZ. YUŞA TEPESİ,Kamu,BEYKOZ,41.162511,29.084688,0.45
BAYRAMPAŞA TUNA CADDESİ PARKI,Park,BAYRAMPASA,41.045338,28.904416,0.859
BALTALİMANI TEM BAĞLANTI KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SARIYER,41.092058,29.044123,5.287
TERMİNAL MEYDANI,Meydan,SILE,41.167204,29.61086,0.462
İBB AŞİYAN MÜZESİ BAHÇESİ,Kamu,BESIKTAS,41.082617,29.053442,0.167
AYDINLI BÖLGE PARKI,Park,TUZLA,40.863463,29.346654,12.093
YENİ MAHALLE METRO İSTASYONU,Metro Çıkışı,BAGCILAR,41.040488,28.835967,0.307
AVCILAR MURAT KÖLÜK HASTANESİ BAHÇESİ,Kamu,AVCILAR,40.984851,28.731412,1.321
VATAN CADDESİ KAVŞAĞI,Cadde (Kavşak ve Refüj),ZEYTINBURNU,41.028816,28.924317,9.941
MEŞRUTİYET MAHALLE PARKI,Park,SILE,41.159082,29.562857,0.066
KOCAKORU PARKI,Park,SILE,41.164906,29.586099,0.106
İBB KARLIKTEPE MAHALLESİ ÇEM BAHÇESİ,Kamu,KARTAL,40.89917,29.192659,0.167
İBB SİLİVRİ ALİBEY ÇEM BAHÇESİ,Kamu,SILIVRI,41.092168,28.257651,0.254
AYVANSARAY SUR DİPLERİ,Ağaçlandırma Sahası,FATIH,41.037662,28.939523,2.976
AYVANSARAY HASTANE ÖNÜ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),FATIH,41.038488,28.943603,0.234
İBB BAHÇELİEVLER KOCASİNAN MAHALLESİ ÇEM BAHÇESİ,Kamu,BAHCELIEVLER,41.007389,28.843963,0.618
İNÖNÜ STADI ETRAFI,Cadde (Kavşak ve Refüj),BESIKTAS,41.038547,28.994877,0.135
YAKUPLU B TİPİ MESİRE ALANI,Kent Ormanı,BEYLIKDUZU,41.004443,28.668846,5.223
BOĞAZKÖY - BOLLUCA ORTA REFÜJ,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ARNAVUTKOY,41.178837,28.776995,0.057
ORTADAĞ KÖPRÜLÜ KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SANCAKTEPE,40.94614,29.216389,8.37
HOCA AHMET YESEVİ KÜLTÜR MERKEZİ BAHÇESİ,Kamu,SULTANGAZI,41.097746,28.876569,0.277
FLORYA SAHİL PARKI,Park,BAKIRKOY,40.969054,28.793678,10.686
BAŞAKKONUTLARI METRO İSTASYONU ÇIKIŞI,Metro Çıkışı,BASAKSEHIR,41.097513,28.79123,0.24
KAĞITHANE MESİRE ALANI,Mesire Alanı,KAGITHANE,41.064392,28.949823,1.914
MALTEPE KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",MALTEPE,40.93595,29.138613,2.085
HAVAALANI CUMHURBAŞKANLIĞI DEVLET KONUK EVİ BAHÇESİ,Kamu,BAKIRKOY,40.982387,28.820199,0.67
TEPEÖREN HAYVAN BARINAĞI BAHÇESİ,Kamu,PENDIK,40.964224,29.405637,9.33
ESENLER İPEKYOLU CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),ESENLER,41.061557,28.870627,1.473
KARTAL İDO - KARTAL KUMCULAR ARASI KARA VE SAHİL PARKI,Park,KARTAL,40.885542,29.197264,9.176
SİLİVRİ KADIKÖY MAHALLE PARKI,Park,SILIVRI,41.134001,28.365624,0.146
KARAMANDERE MAHALLE PARKI,Park,SILE,41.135568,29.589242,0.279
İSTİNYE ABC YOLLARI,Cadde (Kavşak ve Refüj),SARIYER,41.122965,29.03903,2.023
PROF. DR. AZİZ SANCAR PARKI,Park,SARIYER,41.104773,29.04636,0.196
