tip,ad,lat,lon,ilce,kaynak
toplanma_alani,Geçici Toplanma Alanı,41.267225,27.965634,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.268562,27.962957,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.266019,27.963354,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.267894,27.960162,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.256839,27.939853,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.261552,27.941942,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.258481,27.935558,,OSM
toplanma_alani,Geçici Toplanma Alanı,40.986811,27.974748,,OSM
toplanma_alani,Geçici Toplanma Alanı,40.983745,27.973549,,OSM
toplanma_alani,Geçici Toplanma Alanı,40.986914,27.963526,,OSM
toplanma_alani,Geçici Toplanma Alanı,40.973973,27.950023,,OSM
toplanma_alani,Geçici Toplanma Alanı,40.968521,27.952502,,OSM
toplanma_alani,Geçici Toplanma Alanı,40.969396,27.946419,,OSM
toplanma_alani,Geçici Toplanma Alanı,40.968193,27.942513,,OSM
polis,"T.C. Ulaştırma, Denizcilik ve Haberleşme Bakanlığı Yol Kenarı Denetim İstasyonu",41.071117,28.115513,SILIVRI,OSM
hastane,Güney Hastanesi,41.043727,28.879674,ESENLER,OSM
polis,Yedikule Ilce Emniyet Mudurlugu Asayis Buro Amirlig,40.993652,28.924155,FATIH,OSM
hastane,Medipol Üniversitesi Fındıkzade Hastanesi,41.012532,28.940027,FATIH,OSM
hastane,Özel Fatih Hastanesi,41.015677,28.950772,FATIH,OSM
hastane,İstanbul Cerrahi Hastanesi,41.055572,28.998003,SISLI,OSM
itfaiye,İtfaiye Daire Başkanlığı Bölge Amirliği,41.016866,28.953298,FATIH,OSM
polis,Sirkeci Polis Merkezi,41.014743,28.979264,FATIH,OSM
polis,Fatih belediyesi zabıta müdürlüğü,41.016072,28.972299,FATIH,OSM
polis,Beyazıt Polis Merkezi Amirliği,41.010495,28.96208,FATIH,OSM
polis,Aksaray polis merkezi,41.007752,28.95324,FATIH,OSM
polis,Fatih ilçe emniyet müdürlüğü çocuk polisi,41.028778,28.934391,FATIH,OSM
polis,Fatih ilce emniyet müdürlüğü polis merkezi,41.022164,28.945298,FATIH,OSM
hastane,istanbul Eğitim ve Araştırma Hastanesi Poliklinikleri,41.009246,28.945797,FATIH,OSM
hastane,İstanbul Üniversitesi Kardiyoloji enistitusu,41.009154,28.943244,FATIH,OSM
polis,Zabıta Amirliği,41.009648,28.966226,FATIH,OSM
polis,Zabıta Müdürlüğü A Bölgesi Ekipler Amirliği,41.009498,28.934349,FATIH,OSM
hastane,Surp Pırgiç Ermeni Hastanesi,40.993932,28.914694,ZEYTINBURNU,OSM
hastane,Bağcılar Eğitim ve Araştırma Hastanesi,41.030132,28.87124,BAGCILAR,OSM
polis,Darıca İlçe Emniyeti,40.757613,29.385973,,OSM
hastane,Özel İstanbul Şafak Hastahanesi,41.065609,28.899975,GAZIOSMANPASA,OSM
hastane,Özel gop Yaşam Diyaliz Merkezi,41.104908,28.864533,SULTANGAZI,OSM
hastane,İstanbulum Tıp Merkezi,41.103419,28.861677,SULTANGAZI,OSM
hastane,HOSPİTAL PARK,40.79213,29.3673,,OSM
itfaiye,İtfaiye,40.775372,29.378526,,OSM
hastane,Dora Hospital,41.058982,29.001001,SISLI,OSM
polis,Sultanbeyli İlçe Emniyet Müdürlüğü,40.990032,29.266591,SULTANBEYLI,OSM
polis,,40.967871,29.265122,SULTANBEYLI,OSM
toplanma_alani,,41.336637,27.976456,,OSM
polis,Kıyıköy Jandarma Karakol Komutanlığı,41.632918,28.088806,,OSM
polis,Saray İlçe Emniyet Müdürlüğü,41.443372,27.925375,,OSM
hastane,Özel Marmara Ereğlisi Polikliniği,40.973124,27.949181,,OSM
hastane,Saygı Hastanesi Ayak Sağlığı Birimi,40.969457,29.257738,SULTANBEYLI,OSM
hastane,Saygı Hastanesi,40.969757,29.258171,SULTANBEYLI,OSM
hastane,Sultanbeyli Dünyagöz Hastanesi,40.968502,29.253425,SULTANBEYLI,OSM
polis,Sultanbeyli İlçe Emniyet Müdürlüğü,40.965879,29.276149,SULTANBEYLI,OSM
hastane,Neolife,41.070401,29.02009,BESIKTAS,OSM
itfaiye,Hallaçlı Mahallesi Gönüllü İtfaiye İstasyonu,41.31998,28.099513,CATALCA,OSM
hastane,T.C. Sağlık Bakanlığı İstanbul Tacirler Eğitim Vakfı Sultanbeyli İlçe Devlet Hastanesi Merkez Polikliniği,40.963683,29.265783,SULTANBEYLI,OSM
hastane,Ersoy Hastanesi,40.966572,29.269404,SULTANBEYLI,OSM
hastane,İstanbul Tacirler Eğitim Vakfı T.E.V. Sultanbeyli İlçe Devlet Hastanesi,40.965177,29.265979,SULTANBEYLI,OSM
hastane,Sultanbeyli Avrupa Göz Hastanesi,40.967064,29.261234,SULTANBEYLI,OSM
polis,Trafik Denetleme Ekipler amirliği,41.006024,28.900166,ZEYTINBURNU,OSM
hastane,balıklı rum hastanesi vakfı,40.999604,28.91754,ZEYTINBURNU,OSM
hastane,Yedikule Göğüş Hastalıkları Hastanesi,41.002104,28.915237,ZEYTINBURNU,OSM
hastane,Yedikule Surp PIRGIÇ ERMENI Hastanesi,40.993869,28.915252,ZEYTINBURNU,OSM
polis,Güven Timleri Zeytinburnu Devriye Ekip Amirliği,40.990784,28.914013,ZEYTINBURNU,OSM
hastane,SÜLEYMANİYE KADIN DOĞUM VE ÇOCUK HASTANESİ,40.995616,28.914828,ZEYTINBURNU,OSM
hastane,MEDILIFE HASTANESİ,41.048796,28.859508,BAGCILAR,OSM
hastane,Aksa,41.031485,28.826181,BAGCILAR,OSM
polis,100. Yıl Kemalpaşa Polis Merkezi,41.043853,28.845506,BAGCILAR,OSM
hastane,Özel Hospitalist Hastanesi,41.034583,28.855088,BAGCILAR,OSM
polis,Bağcılar İlçe Emniyet Müdürlüğü,41.034878,28.859669,BAGCILAR,OSM
hastane,İstanbul Eğitim ve Araştırma Hastanesi Osmaniye Semt Poliklinği,40.99202,28.881361,BAKIRKOY,OSM
toplanma_alani,Geçici Toplanma Alanı,41.334029,27.985105,,OSM
hastane,Gaziosmanpaşa Özel Başarı Hastanesi,41.079753,28.906681,GAZIOSMANPASA,OSM
polis,Orhanlı Polis Merkez Amirliği,40.880787,29.348938,TUZLA,OSM
polis,Örnek Şehit Hayrettin Yıldırım Polis Merkezi,40.993865,29.100647,ATASEHIR,OSM
hastane,Dayıoğlu Tıp Merkezi,41.063322,28.746725,BASAKSEHIR,OSM
hastane,Haydarpaşa Numune Eğitim ve Araştırma Hastanesi Tıbbiye Binası,41.004346,29.025751,USKUDAR,OSM
polis,Çınardere Karakolu,40.893911,29.241362,PENDIK,OSM
hastane,,41.073211,28.903253,GAZIOSMANPASA,OSM
polis,Kocaeli Bölge Trafik Denetleme Şube Müdürlüğü,40.768685,29.835772,,OSM
hastane,Özel Pendik Şifa Hastanesi,40.88302,29.236191,PENDIK,OSM
hastane,Dűnyagöz,41.082461,29.037093,BESIKTAS,OSM
itfaiye,ARFF 1,41.275162,28.732059,ARNAVUTKOY,OSM
polis,Çerkezköy İlçe Emniyet Müdürlüğü,41.278507,28.013836,,OSM
hastane,Dünya Göz Hastanesi,40.878879,29.236241,PENDIK,OSM
polis,Burgazada Polis Merkezi Amirliği,40.880472,29.069167,ADALAR,OSM
hastane,Haydarpaşa Numune Hastanesi,41.004448,29.022759,USKUDAR,OSM
polis,,41.019071,29.011478,USKUDAR,OSM
itfaiye,Poyraz Orman Yangın Harekat Merkezi,41.188448,29.144547,BEYKOZ,OSM
hastane,İstanbullu OSGB,41.080051,28.805901,BASAKSEHIR,OSM
polis,Güngören İlçe Emniyet Müdürlüğü Asayiş Büro Amirliği,41.017588,28.897151,GUNGOREN,OSM
polis,Güngören İlçe Emniyet Müdürlüğü Çocuk Büro Amirliği,41.017588,28.897232,GUNGOREN,OSM
polis,Merkez Efendi Polis Merkezi,41.019946,28.907227,ZEYTINBURNU,OSM
hastane,Yanıkağıl Aile Sağlığı Merkezi,41.292401,27.906967,,OSM
hastane,Özel Üsküdar Anadolu Hastanesi,41.02143,29.015895,USKUDAR,OSM
hastane,Doktor Levent Polikliniği,41.062445,28.986413,SISLI,OSM
polis,Avcılar Karakolu,40.984373,28.721325,AVCILAR,OSM
polis,,40.795356,29.459342,,OSM
hastane,Küçükyoncalı Köyü Aile Sağlığı Merkezi,41.407773,27.970619,,OSM
hastane,Özel 2000 Tıp Merkezi,41.020583,28.580972,BUYUKCEKMECE,OSM
hastane,Özel Elitium,41.060366,28.676048,ESENYURT,OSM
hastane,İstanbul Tema Hastanesi,41.060085,28.773943,KUCUKCEKMECE,OSM
hastane,Bayrampaşa 1 Nolu Yabancı Uyruklular Polikliniği,41.030325,28.907079,BAYRAMPASA,OSM
